aX,aY,aZ,gX,gY,gZ
-1.048,-1.257,1.833,123.901,-168.396,0.854
-1.181,-1.421,2.745,125.488,-161.011,-2.869
-0.966,-2.220,3.009,111.938,-114.258,-19.836
-0.531,-2.736,2.247,121.521,-17.395,-11.658
-0.173,-2.652,0.985,130.554,63.232,24.658
-0.001,-2.345,-0.010,109.680,92.529,58.472
-0.021,-1.944,-0.217,64.514,67.993,83.435
-0.141,-1.578,-0.108,21.362,32.532,98.877
-0.264,-1.299,0.012,3.113,15.076,107.483
-0.354,-1.009,-0.024,15.808,13.855,115.051
-0.524,-0.557,-0.155,48.523,19.531,118.835
-0.626,-0.385,-0.002,67.810,21.423,108.398
-0.657,-0.430,0.382,70.740,24.414,90.942
-0.636,-0.480,0.498,86.731,47.363,82.520
-0.569,-0.486,0.396,106.445,75.745,78.491
-0.506,-0.455,0.200,122.437,97.717,74.890
-0.439,-0.512,0.037,126.526,109.192,68.359
-0.350,-0.683,-0.057,117.615,111.633,59.387
-0.268,-0.826,-0.246,103.088,110.596,55.481
-0.205,-0.848,-0.404,81.482,102.966,56.580
-0.180,-0.809,-0.398,55.115,86.975,57.556
-0.122,-0.861,-0.372,32.837,72.388,54.932
-0.036,-0.876,-0.368,23.560,67.566,52.368
0.028,-0.753,-0.629,22.522,72.021,55.481
0.071,-0.736,-0.640,22.278,62.378,54.138
0.049,-0.644,-0.646,23.071,49.438,51.636
0.009,-0.618,-0.548,25.513,38.391,46.387
-0.029,-0.642,-0.439,38.513,31.006,41.809
-0.081,-0.766,-0.386,57.800,29.785,39.429
-0.052,-0.896,-0.256,64.758,29.175,40.649
-0.052,-0.817,-0.278,65.979,31.860,44.067
0.017,-1.049,-0.161,70.068,29.846,37.964
0.035,-1.038,-0.036,52.124,25.757,39.307
0.134,-1.167,0.034,41.748,26.123,39.551
0.007,-1.122,0.138,17.517,29.114,42.297

0.406,-0.435,-1.403,-126.465,-261.658,-32.898
0.382,-0.438,-1.143,-132.019,-290.161,-46.448
0.543,-0.579,-0.827,-136.963,-299.805,-58.838
0.593,-0.698,-1.299,-129.944,-292.053,-64.636
0.835,-0.826,-1.783,-132.324,-290.833,-68.359
0.947,-0.941,-1.680,-142.151,-319.275,-59.875
0.996,-1.157,-1.666,-129.150,-345.825,-43.823
0.916,-1.071,-1.306,-108.459,-369.690,-20.691
0.909,-0.987,-1.025,-80.322,-386.536,1.892
0.823,-0.961,-0.922,-48.401,-388.123,16.357
0.827,-0.854,-0.446,-34.790,-389.648,23.621
0.854,-1.013,-0.471,-38.879,-368.164,18.250
0.833,-0.943,-0.276,-27.283,-350.830,23.132
0.816,-0.990,-0.246,-28.381,-333.862,22.339
0.774,-0.815,-0.331,-33.813,-317.322,21.484
0.659,-0.633,-0.289,-37.415,-313.660,17.578
0.502,-0.478,-0.021,-40.955,-315.186,5.310
0.368,-0.404,0.391,-49.561,-314.514,-15.381
0.229,-0.465,0.714,-60.913,-300.903,-40.222
0.090,-0.550,1.019,-71.411,-276.855,-62.317
-0.014,-0.617,1.245,-75.562,-243.347,-76.172
-0.135,-0.745,1.201,-66.833,-200.867,-81.238
-0.269,-0.778,1.116,-47.241,-157.532,-76.782
-0.218,-0.987,0.844,-16.724,-119.446,-67.932
-0.013,-1.598,-0.443,3.174,-79.407,-64.575
0.011,-1.892,-1.039,-3.784,-88.745,-38.940
-0.089,-1.690,-0.497,2.197,-147.949,21.057
-0.323,-1.404,-0.212,26.001,-173.279,78.674
-0.556,-0.821,0.105,49.683,-177.063,118.530
