Column1;aX;aY;aZ 
;-513;-680;737
;-539;-564;672
;-539;-564;672
;-539;-564;672
;-519;-599;581
;-519;-599;581
;-519;-599;581
;-559;-620;544
;-559;-620;544
;-559;-620;544
;-611;-654;517
;-611;-654;517
;-611;-654;517
;-623;-459;342
;-623;-459;342
;-623;-459;342
;-603;-500;255
;-603;-500;255
;-606;-544;285
;-537;-634;395
;-537;-634;395
;-537;-634;395
;-556;-637;400
;-556;-637;400
;-556;-637;400
;-529;-590;415
;-529;-590;415
;-529;-590;415
;-521;-586;446
;-521;-586;446
;-497;-638;481
;-500;-596;488
;-500;-596;488
;-518;-517;469
;-573;-411;419
;-573;-411;419
;-573;-411;419
;-647;-599;477
;-647;-599;477
;-647;-599;477
;-592;-515;583
;-592;-515;583
;-526;-655;683
;-323;-788;691
;-323;-788;691
;-323;-788;691
;-241;-423;652
;-241;-423;652
;-241;-423;652
;-287;-694;669
;-287;-694;669
;-287;-694;669
;-326;-814;643
;-326;-814;643
;-326;-814;643
;-437;-677;647
;-437;-677;647
;-437;-677;647
;-468;-540;656
;-468;-540;656
;-468;-540;656
;-437;-552;635
;-437;-552;635
;-437;-552;635
;-228;-736;934
;-228;-736;934
;-191;-851;1055
;-313;-600;869
;-313;-600;869
;-313;-600;869
;-293;-385;780
;-293;-385;780
;-293;-385;780
;-193;-489;672
;-193;-489;672
;-193;-489;672
;-186;-591;791
;-186;-591;791
;-186;-591;791
;-250;-576;801
;-301;-577;778
;-301;-577;778
;-362;-673;663
;-362;-673;663
;-362;-673;663
;-412;-773;674
;-412;-773;674
;-412;-773;674
;-336;-926;815
;-336;-926;815
;-336;-926;815
;-148;-606;838
;-188;-589;819
;-188;-589;819
;-256;-670;704
;-256;-670;704
;-256;-670;704
;-346;-787;518
;-346;-787;518
;-346;-787;518
;-517;-461;100
;-517;-461;100
;-517;-461;100
;-364;-478;148
;-364;-478;148
;-400;-600;350
;-400;-600;350
;-400;-600;350
;-454;-682;562
;-454;-682;562
;-454;-682;562
;-391;-478;545
;-253;-525;619
;-253;-525;619
;-75;-773;850
;-75;-773;850
;-75;-773;850
;-203;-760;721
;-203;-760;721
;-203;-760;721
;-293;-665;775
;-293;-665;775
;-293;-665;775
;-372;-719;773
;-372;-719;773
;-372;-719;773
;-386;-719;663
;-458;-824;650
;-458;-824;650
;-671;-645;577
;-671;-645;577
;-671;-645;577
;-682;-739;574
;-682;-739;574
;-682;-739;574
;-487;-551;488
;-487;-551;488
;-450;-587;503
;-517;-580;600
;-517;-580;600
;-517;-580;600
;-202;-518;835
;-202;-518;835
;-202;-518;835
;-63;-701;926
;-63;-701;926
;-63;-701;926
;-110;-346;829
;-110;-346;829
;-12;-456;817
;-88;-663;786
;-88;-663;786
;-88;-663;786
;-160;-649;708
;-160;-649;708
;-160;-649;708
;-479;-683;486
;-479;-683;486
;-479;-683;486
;-413;-588;634
;-413;-588;634
;-664;-685;735
;-481;-493;785
;-481;-493;785
;-481;-493;785
;-441;-428;814
;-441;-428;814
;-441;-428;814
;-362;-482;742
;-362;-482;742
;-362;-482;742
;-351;-416;648
;-383;-494;669
;-406;-480;708
;-406;-480;708
;-406;-480;708
;-418;-645;713
;-418;-645;713
;-418;-645;713
;-370;-647;660
;-370;-647;660
;-370;-647;660
;-366;-561;676
;-423;-623;690
;-423;-623;690
;-436;-537;653
;-436;-537;653
;-436;-537;653
;-471;-604;618
;-471;-604;618
;-471;-604;618
;-484;-642;606
;-484;-642;606
;-484;-642;606
;-402;-510;678
;-402;-510;678
;-402;-510;678
;-450;-576;830
;-450;-576;830
;-450;-576;830
;-471;-545;817
;-471;-545;817
;-471;-545;817
;-375;-492;626
;-375;-492;626
;-310;-468;573
;-275;-482;596
;-270;-546;728
;-270;-546;728
;-272;-683;827
;-272;-683;827
;-272;-683;827
;-218;-655;678
;-218;-655;678
;-218;-655;678
;-249;-819;689
;-249;-819;689
;-175;-847;710
;-134;-768;709
;-81;-667;640
;-81;-667;640
;-324;-711;505
;-324;-711;505
;-324;-711;505
;-235;-798;514
;-235;-798;514
;-235;-798;514
;-267;-721;532
;-240;-616;557
;-264;-567;553
;-264;-567;553
;-264;-567;553
;-176;-652;558
;-176;-652;558
;-176;-652;558
;-258;-739;619
;-258;-739;619
;-258;-739;619
;-292;-838;532
;-292;-838;532
;-292;-838;532
;-264;-692;546
;-264;-692;546
;-264;-692;546
;-368;-820;565
;-368;-820;565
;-368;-820;565
;-218;-785;598
;-218;-785;598
;-218;-785;598
;-291;-758;514
;-283;-700;489
;-283;-700;489
;-323;-657;599
;-323;-657;599
;-323;-657;599
;-159;-739;632
;-159;-739;632
;-159;-739;632
;-194;-639;536
;-194;-639;536
;-194;-639;536
;-142;-754;623
;-142;-754;623
;-125;-755;640
;-164;-730;555
;-164;-730;555
;-164;-730;555
;-195;-797;550
;-195;-797;550
;-195;-797;550
;-331;-833;628
;-331;-833;628
;-331;-833;628
;-453;-719;600
;-453;-719;600
;-453;-719;600
;-352;-774;668
;-352;-774;668
;-352;-774;668
;-270;-634;621
;-270;-634;621
;-270;-634;621
;-296;-494;591
;-296;-494;591
;-296;-494;591
;-312;-702;680
;-312;-702;680
;-312;-702;680
;-258;-733;623
;-258;-733;623
;-258;-733;623
;-285;-856;658
;-285;-856;658
;-285;-856;658
;-242;-618;595
;-242;-618;595
;-242;-618;595
;-302;-677;562
;-302;-677;562
;-302;-677;562
;-288;-695;578
;-288;-695;578
;-288;-695;578
;-304;-792;565
;-304;-792;565
;-304;-792;565
;-196;-899;600
;-196;-899;600
;-196;-899;600
;-427;-746;589
;-427;-746;589
;-442;-699;623
;-586;-663;552
;-586;-663;552
;-586;-663;552
;-490;-648;502
;-490;-648;502
;-490;-648;502
;-367;-638;517
;-367;-638;517
;-367;-638;517
;-160;-702;540
;-140;-755;564
;-140;-755;564
;-148;-713;497
;-148;-713;497
;-148;-713;497
;-188;-767;521
;-188;-767;521
;-188;-767;521
;-215;-840;530
;-215;-840;530
;-215;-840;530
;-252;-820;523
;-252;-820;523
;-252;-820;523
;-295;-843;486
;-295;-843;486
;-295;-843;486
;-299;-782;477
;-299;-782;477
;-299;-782;477
;-291;-729;553
;-291;-729;553
;-291;-729;553
;-183;-757;610
;-183;-757;610
;-221;-734;575
;-259;-721;535
;-259;-721;535
;-259;-721;535
;-279;-783;541
;-279;-783;541
;-279;-783;541
;-231;-793;371
;-231;-793;371
;-231;-793;371
;-211;-857;509
;-211;-857;509
;-211;-857;509
;-314;-666;711
;-314;-666;711
;-314;-666;711
;-237;-683;540
;-237;-683;540
;-237;-683;540
;-303;-785;584
;-303;-785;584
;-303;-785;584
;-359;-705;482
;-359;-705;482
;-359;-705;482
;-243;-846;508
;-243;-846;508
;-243;-846;508
;-95;-897;553
;-95;-897;553
;-95;-897;553
;-170;-663;600
;-170;-663;600
;-170;-663;600
;-219;-606;626
;-219;-606;626
;-219;-606;626
