aX,aY,aZ,gX,gY,gZ
-5.861,0.737,-6.752,3.070,1.943,3.070
-5.693,0.752,-6.790,2.681,2.059,2.642
-5.559,0.833,-6.876,2.662,1.205,2.234
-5.555,0.757,-6.910,2.973,-0.719,1.787
-5.559,0.795,-6.910,2.837,-1.107,1.243
-5.674,0.661,-7.044,2.429,-0.894,0.389
-5.646,0.737,-7.010,1.379,0.233,-0.369
-5.780,0.565,-6.939,0.894,0.155,-0.719
-5.780,0.565,-6.939,0.894,0.155,-0.719

-6.670,6.546,-5.105,8.587,-19.584,-10.336
-6.996,7.666,-5.272,8.140,-16.339,-14.027
-8.471,7.676,-5.516,5.518,-11.443,-17.447
-7.398,9.682,-5.569,1.865,-10.258,-22.576
-7.302,10.611,-5.507,-0.758,-15.135,-25.004
-7.709,10.736,-5.167,-3.419,-21.546,-25.529
-8.447,10.923,-4.458,-8.743,-23.139,-27.258
-8.447,10.923,-4.458,-8.743,-23.139,-27.258
-9.376,11.306,-4.712,-17.214,-10.064,-30.231
-9.290,12.220,-6.575,-11.851,-8.140,-28.851
-9.290,12.220,-6.575,-11.851,-8.140,-28.851
-9.213,9.917,-7.202,6.703,-40.353,-27.899
-7.858,7.609,-5.219,0.155,-46.570,-28.676
-5.162,4.616,-2.653,-6.975,-34.563,-28.055
-1.341,0.522,-0.551,-9.228,-14.455,-31.066
3.634,-5.861,0.852,0.971,-1.243,-35.418
8.294,-14.624,-0.148,16.689,8.704,-36.506
9.500,-19.872,-2.528,29.279,22.168,-35.962
8.500,-22.204,-4.295,42.917,21.177,-50.125
5.899,-24.737,-5.765,58.227,-7.480,-82.182
0.623,-28.037,-4.276,60.189,-33.747,-90.905
-3.136,-26.461,-0.215,60.830,-42.334,-75.168
-5.837,-19.585,-0.450,57.819,-29.084,-34.447
0.239,-14.744,0.187,36.370,13.308,5.032
5.535,-8.246,1.935,2.429,43.481,3.789
0.402,-7.082,1.216,-2.759,20.633,-19.778
-6.268,-13.978,0.330,11.210,-6.295,-29.298
-9.596,-17.033,1.053,20.439,-21.974,-22.440
-9.017,-15.998,1.590,13.056,-22.887,-2.137
-4.937,-13.987,2.284,1.146,-12.084,11.327
-2.844,-12.958,2.682,-8.393,-8.393,13.852
-2.844,-12.958,2.682,-8.393,-8.393,13.852
-4.942,-13.762,0.421,-2.079,-14.591,-4.080
-5.128,-13.283,-0.297,2.681,-22.226,-1.885
-4.492,-12.297,-0.785,-0.369,-28.735,2.837
-3.649,-12.177,-0.316,-2.798,-33.572,4.702
-3.611,-13.053,0.469,-6.645,-33.164,4.643
-3.979,-12.694,1.307,-13.697,-23.081,8.063
-3.534,-10.104,1.235,-22.323,-6.373,16.611
-1.973,-8.763,-0.230,-19.972,-1.321,24.829
-1.839,-8.078,-1.197,-7.363,-10.958,25.665
-3.213,-9.132,-1.006,-0.058,-22.382,23.042
-4.635,-10.046,-0.014,-4.294,-19.254,21.643
-4.592,-9.223,0.302,-14.086,-6.392,25.743
-3.668,-7.671,0.115,-17.524,0.427,28.501
-3.285,-7.144,-0.369,-11.948,-0.544,29.084
-3.749,-6.388,-1.034,-4.119,-9.228,28.016
-4.674,-6.235,-0.991,0.971,-13.425,28.288
-5.473,-5.837,-1.250,-0.680,-5.051,29.531
-5.473,-5.837,-1.250,-0.680,-5.051,29.531
-5.042,-3.740,-1.686,-7.966,10.239,29.453
-5.473,-4.132,-1.891,-1.107,1.282,28.307
-7.116,-4.367,-1.709,1.457,-6.062,26.384
-7.829,-3.907,-1.642,-0.622,0.952,29.337
-5.746,-1.920,-2.164,-3.594,8.238,34.116
-5.090,0.129,-2.974,0.117,0.097,36.661
-5.828,-0.589,-2.160,12.395,-10.452,29.531
-5.828,-0.589,-2.160,12.395,-10.452,29.531
-9.826,-1.863,0.675,5.712,-1.671,17.622
-8.107,1.336,0.522,0.330,19.001,28.793
-5.933,3.443,-0.953,4.760,29.162,37.361
-5.435,5.708,-2.026,14.494,25.820,32.484
-5.435,5.708,-2.026,14.494,25.820,32.484
-9.180,3.941,-0.311,8.102,23.819,11.754
-10.405,4.257,0.115,-4.119,45.793,10.064
-9.017,5.641,-0.498,-3.614,66.620,16.534
-7.877,5.397,-1.963,8.335,63.881,21.507
-8.729,4.942,-2.653,13.347,48.163,15.193
-10.305,3.481,-2.562,5.479,42.859,7.849
-10.458,2.418,-2.543,-0.291,47.891,6.295
-10.176,2.289,-3.218,0.583,44.161,8.529
-10.176,1.441,-3.883,4.838,34.524,10.278
-10.176,1.441,-3.883,4.838,34.524,10.278
-9.768,1.030,-4.980,6.217,28.501,9.228
-8.993,0.742,-6.148,1.496,21.332,8.626
-8.993,0.742,-6.148,1.496,21.332,8.626
-7.245,1.073,-6.086,-2.467,22.867,7.014
-7.245,1.073,-6.086,-2.467,22.867,7.014
-6.508,0.814,-5.200,1.069,16.806,9.267
-6.110,1.159,-5.186,1.515,15.523,8.393
-6.182,0.996,-5.176,0.117,15.873,4.974
-6.048,1.020,-5.291,-1.224,17.719,2.118
-6.187,0.843,-5.454,-0.835,17.078,0.622
-6.187,0.843,-5.454,-0.835,17.078,0.622
-6.144,0.450,-6.527,1.690,18.321,-1.030
-6.129,0.436,-7.207,3.206,15.096,-1.846
-6.259,0.196,-7.537,2.293,11.288,-2.118
-6.081,0.225,-7.312,-0.602,11.113,-2.079
-6.081,0.225,-7.312,-0.602,11.113,-2.079
-6.177,-0.144,-7.767,-1.574,8.626,-2.662
-5.751,0.144,-7.312,-0.466,8.218,-3.322
-5.751,0.144,-7.312,-0.466,8.218,-3.322
-5.282,0.096,-7.518,-1.729,9.384,-3.011
-5.200,0.206,-7.527,-1.010,7.810,-2.875
-5.200,0.206,-7.527,-1.010,7.810,-2.875
-5.124,-0.110,-7.614,0.835,2.837,-1.321
-5.124,-0.110,-7.614,0.835,2.837,-1.321
-5.330,-0.412,-7.523,1.341,2.739,-1.127
-5.009,-0.345,-7.590,-0.719,6.450,-1.768
-4.932,-0.182,-7.571,-2.001,6.703,-2.370
-4.975,-0.206,-7.532,-2.059,5.304,-2.157
-5.219,-0.316,-8.107,-1.341,3.983,-1.632
-5.219,-0.316,-8.107,-1.341,3.983,-1.632
-4.836,-0.105,-7.422,-0.117,3.653,-1.671
-4.918,-0.038,-7.595,0.855,1.651,-0.058
-4.827,0.081,-7.575,0.777,0.602,-0.447
-4.860,-0.019,-7.393,0.291,0.641,-1.107
-4.860,-0.019,-7.393,0.291,0.641,-1.107
-5.052,-0.158,-7.547,0.952,2.739,-0.758
-4.870,-0.105,-7.571,0.816,3.011,-0.525
-4.923,-0.096,-7.743,0.913,2.098,-0.680
-4.923,-0.096,-7.743,0.913,2.098,-0.680
-4.899,-0.125,-7.638,-0.369,2.254,-0.719
-4.903,-0.192,-7.633,0.194,2.254,-0.544
-4.875,-0.230,-7.781,0.641,1.943,-0.194
-4.669,-0.129,-7.738,0.913,0.952,0.272
-4.697,-0.101,-7.772,0.777,0.466,0.019
-4.674,-0.086,-7.662,-0.311,1.768,-0.233
-4.592,-0.062,-7.614,-0.369,2.137,-0.525

-4.731,9.864,-7.987,-3.031,-7.499,-24.169
-4.674,8.634,-6.115,-4.158,-16.786,-27.064
-3.797,7.762,-3.998,-9.015,-11.579,-25.218
-2.734,6.613,-2.897,-8.490,-2.681,-20.380
-1.255,5.995,-2.945,0.117,-0.971,-10.977
-1.130,4.659,-3.491,7.616,-4.741,-4.624
-1.130,4.659,-3.491,7.616,-4.741,-4.624
-0.110,3.299,-3.069,3.750,-6.839,-3.342
4.894,-4.721,-1.508,-21.974,4.643,-8.140
7.346,-7.906,-1.829,-21.196,23.061,-12.706
7.346,-7.906,-1.829,-21.196,23.061,-12.706
6.503,-16.626,-7.111,45.715,18.204,-25.354
2.998,-21.184,-10.348,78.432,1.010,-34.874
-1.537,-24.570,-10.726,85.368,-18.612,-39.653
-4.377,-23.732,-12.124,77.014,-29.007,-34.544
-3.903,-19.901,-11.550,55.507,-7.830,-11.074
-3.903,-19.901,-11.550,55.507,-7.830,-11.074
1.030,-11.717,-8.964,16.320,19.720,11.657
0.704,-11.162,-6.555,3.050,10.472,1.690
-1.619,-10.094,-5.794,-4.643,2.739,-8.976
-3.745,-9.836,-5.832,0.874,-3.458,-15.873
-5.799,-11.085,-6.718,15.193,-15.154,-17.019
-5.799,-11.085,-6.718,15.193,-15.154,-17.019
-7.571,-13.082,-7.709,23.353,-18.651,-12.784
-5.612,-12.019,-8.193,-10.724,12.939,3.050
-3.836,-10.329,-7.982,-20.594,10.258,8.412
-2.954,-9.218,-7.398,-20.516,-0.447,7.053
-2.610,-8.155,-6.982,-19.506,-7.577,3.536
-2.964,-8.816,-7.120,-18.030,-9.403,-0.738
-2.773,-9.414,-7.006,-19.331,-8.257,-2.701
-1.949,-8.476,-6.795,-22.051,-6.353,-0.039
-1.551,-6.412,-6.747,-23.003,-8.490,4.158
-1.772,-5.751,-6.484,-21.604,-13.095,1.729
-1.772,-5.751,-6.484,-21.604,-13.095,1.729
-2.308,-5.895,-5.722,-22.284,-9.967,-2.739
-2.327,-4.951,-5.679,-21.449,-1.107,2.254
-2.619,-4.314,-5.952,-14.299,-1.535,6.509
-2.682,-4.511,-6.536,-8.335,-3.983,8.374
-2.121,-4.104,-6.905,-10.705,0.991,10.044
-2.121,-4.104,-6.905,-10.705,0.991,10.044
-2.447,-3.261,-6.895,-16.883,8.704,8.160
-2.940,-2.782,-6.929,-13.095,9.753,10.627
-1.853,-1.800,-7.178,-8.432,8.743,18.243
-0.819,-0.464,-7.322,-8.354,6.897,21.604
-1.671,-0.594,-7.460,-10.083,7.985,15.601
-2.710,-1.427,-7.604,-10.044,9.753,7.674
-3.184,-1.714,-6.819,-5.906,5.343,10.278
