aX,aY,aZ,gX,gY,gZ
-0.066,0.629,1.805,21.423,-10.193,85.144
-0.032,0.600,1.626,23.743,6.653,69.153
-0.017,0.448,1.548,25.696,15.381,52.307
-0.013,0.295,1.353,29.419,23.682,39.673
-0.008,0.205,1.197,36.011,28.748,32.166
-0.008,0.212,1.077,45.471,27.283,26.794
-0.022,0.156,0.924,54.810,26.001,19.409
-0.061,0.010,0.726,57.922,24.475,9.888
-0.094,-0.147,0.593,53.772,20.020,4.089
-0.109,-0.289,0.677,42.542,9.766,1.953
-0.134,-0.342,0.760,27.527,4.211,4.395
-0.149,-0.407,0.753,13.123,5.249,7.324
-0.154,-0.465,0.827,0.366,3.418,10.315

-0.320,1.370,1.538,1.709,-11.169,140.625
-0.288,1.533,1.141,10.620,-1.953,107.239
-0.342,1.369,1.119,13.489,-15.686,62.988
-0.395,0.977,1.185,16.968,-36.133,26.062
-0.435,0.677,1.244,15.015,-44.861,4.333
-0.453,0.656,1.360,7.446,-45.959,-2.014
-0.482,0.622,1.412,-0.793,-37.537,-9.827
-0.514,0.569,1.365,-5.920,-23.987,-21.545
-0.527,0.552,1.383,-7.935,-13.367,-29.968
-0.450,0.710,1.462,-6.165,-7.812,-37.720
-0.266,1.246,1.713,-7.446,-6.104,-43.945
-0.159,1.910,1.882,-6.897,-1.038,-63.110
-0.137,2.478,1.953,-1.221,10.254,-106.567
-0.351,2.594,1.968,12.451,24.292,-179.871
-0.699,1.983,2.005,20.325,44.617,-276.184
-1.016,1.206,1.724,34.180,71.899,-351.746
-1.226,0.658,1.400,47.607,91.614,-389.160
-1.339,0.142,1.396,59.753,93.384,-410.645
-1.334,-0.287,1.602,65.308,97.595,-422.180
-1.308,-0.379,1.601,63.843,125.000,-416.870
-1.279,-0.227,1.454,55.847,163.635,-408.508
-1.295,0.049,1.482,46.753,192.749,-412.292
-1.375,0.317,1.620,37.964,218.567,-429.138
-1.593,0.497,1.511,25.269,254.944,-458.374
-1.957,0.681,1.120,18.372,291.138,-492.676
-2.343,0.693,0.788,11.475,311.340,-534.241
-2.990,0.366,0.408,5.981,312.378,-583.252
-3.386,-0.606,-0.323,8.728,308.167,-628.052
-3.405,-2.114,-0.247,-0.183,263.916,-655.212
-3.070,-2.999,0.273,1.160,206.970,-618.164
-2.534,-2.724,0.812,9.888,184.875,-524.170
-2.195,-1.684,1.218,23.621,192.566,-431.702
-2.145,-1.156,1.081,30.701,231.812,-398.071
-2.162,-1.157,0.793,21.667,273.193,-399.780
-2.143,-0.965,0.806,11.169,291.504,-386.597
-2.244,-0.513,0.810,-9.338,307.068,-363.892
-2.543,-0.305,0.222,-25.940,333.008,-360.474
-2.699,-0.709,-0.667,-28.564,337.769,-381.836
-2.622,-1.565,-1.168,-7.263,283.264,-403.381
-2.387,-2.293,-0.848,20.081,183.289,-393.921
-2.030,-2.433,-0.144,42.053,95.398,-345.520
-1.699,-2.163,0.344,66.345,51.880,-285.461
-1.467,-1.788,0.689,79.590,40.222,-236.877
-1.304,-1.614,0.875,77.454,48.462,-204.773
-1.251,-1.488,0.635,57.434,73.792,-178.162
-1.151,-1.498,0.432,38.086,85.938,-156.738
-1.042,-1.525,0.455,22.217,78.186,-136.597
-0.933,-1.528,0.490,9.399,70.557,-113.098
-0.887,-1.598,0.331,-0.549,70.007,-91.431
-0.865,-1.701,-0.004,-6.653,67.932,-69.336
-0.815,-1.663,-0.232,-8.057,48.096,-41.443
-0.707,-1.417,0.006,-7.446,7.568,-9.521
-0.625,-1.047,0.414,-7.629,-28.076,15.259
-0.600,-0.791,0.588,-6.897,-40.833,27.588
-0.630,-0.775,0.562,-10.559,-41.626,28.870
-0.616,-0.798,0.627,-24.719,-46.875,30.945
-0.557,-0.706,0.926,-45.105,-58.044,41.199
-0.559,-0.818,1.127,-63.171,-56.885,48.401
-0.595,-1.194,1.044,-81.482,-36.987,51.392
-0.665,-1.352,0.732,-98.328,-13.855,70.007
-0.686,-1.165,0.408,-107.666,-1.160,103.149
-0.666,-0.930,0.312,-111.084,-7.751,129.333
-0.674,-0.759,0.326,-104.370,-22.766,143.494
-0.708,-0.684,0.330,-95.825,-34.729,151.978
-0.762,-0.762,0.314,-84.412,-44.556,158.020
