aX,aY,aZ,gX,gY,gZ
-0.148,0.574,-0.815,34.180,-13.367,55.725
-0.146,0.633,-0.878,34.607,-6.165,37.659
-0.153,0.591,-0.968,35.461,0.061,12.695
-0.142,0.494,-1.023,34.729,-1.221,-7.507
-0.131,0.374,-1.018,33.813,-9.521,-19.958
-0.138,0.246,-1.008,32.959,-15.076,-26.917
-0.165,0.139,-0.989,27.222,-19.165,-26.550
-0.142,0.095,-0.953,18.799,-22.705,-17.151
-0.100,0.145,-0.891,14.893,-26.978,-1.648
-0.088,0.256,-0.821,15.137,-28.931,11.719
-0.091,0.377,-0.773,17.944,-26.306,18.433
-0.085,0.491,-0.744,18.250,-21.057,20.630
-0.052,0.585,-0.718,15.625,-17.639,19.104
-0.011,0.626,-0.686,12.451,-15.076,9.949
-0.008,0.590,-0.663,9.521,-10.681,-5.615
-0.000,0.491,-0.654,3.845,-3.845,-20.752
0.020,0.359,-0.658,-0.610,2.502,-30.701
0.023,0.216,-0.678,-2.686,10.071,-36.865
0.021,0.099,-0.737,-1.404,21.240,-36.621
0.026,0.044,-0.833,1.221,31.982,-26.611
0.020,0.064,-0.919,-1.892,36.316,-10.193
-0.002,0.159,-0.962,-8.789,33.325,7.935
0.018,0.304,-0.987,-14.832,29.724,24.109
0.029,0.462,-0.997,-16.479,26.611,33.569
0.045,0.597,-1.001,-14.099,23.376,34.607
0.072,0.690,-1.008,-13.672,19.775,28.564
0.103,0.723,-0.980,-19.836,13.428,16.724
0.156,0.717,-0.921,-27.527,4.333,2.380
0.183,0.619,-0.837,-27.466,-0.427,-14.343
0.177,0.441,-0.783,-26.428,2.563,-32.654
0.170,0.248,-0.783,-26.306,12.878,-43.152
0.118,0.078,-0.842,-29.846,27.100,-42.542
0.088,-0.025,-0.943,-32.349,43.396,-31.067
0.024,-0.050,-1.072,-29.907,56.824,-12.939
-0.052,-0.002,-1.222,-22.339,66.589,4.883
-0.121,0.121,-1.349,-15.564,69.092,22.888
-0.168,0.272,-1.437,-11.841,63.904,36.133
-0.162,0.406,-1.499,-8.484,54.749,39.856
-0.149,0.504,-1.518,-5.066,39.307,33.936
-0.130,0.550,-1.487,-3.784,18.433,21.851
-0.086,0.511,-1.409,-6.042,-1.282,5.310
-0.062,0.388,-1.275,-10.437,-19.836,-9.827
-0.039,0.244,-1.127,-17.090,-34.790,-17.090
-0.006,0.141,-0.981,-26.489,-42.664,-12.207
0.001,0.099,-0.850,-34.668,-43.335,0.854

-0.460,-0.624,-1.633,-122.681,76.721,49.072
-0.496,-0.620,-1.593,-116.333,41.199,59.509
-0.490,-0.547,-1.450,-108.765,7.935,72.144
-0.448,-0.409,-1.239,-109.924,-19.470,83.923
-0.410,-0.298,-1.024,-119.080,-36.072,86.731
-0.369,-0.256,-0.867,-118.286,-36.804,75.500
-0.341,-0.289,-0.774,-111.328,-27.222,56.396
-0.355,-0.373,-0.746,-101.196,-12.634,37.720
-0.348,-0.479,-0.808,-87.219,5.249,24.048
-0.337,-0.585,-0.934,-72.815,20.508,14.893
-0.342,-0.678,-1.067,-62.012,27.161,11.353
-0.331,-0.728,-1.173,-56.396,23.743,14.893
-0.317,-0.734,-1.206,-54.199,9.521,24.292
-0.308,-0.682,-1.150,-56.335,-10.681,36.743
-0.275,-0.579,-1.020,-62.378,-30.151,48.889
-0.229,-0.495,-0.860,-68.298,-45.105,53.772
-0.207,-0.462,-0.709,-75.195,-52.979,50.537
-0.204,-0.462,-0.596,-83.801,-51.636,44.556
-0.181,-0.476,-0.530,-89.417,-42.664,39.490
-0.166,-0.506,-0.514,-88.623,-28.809,33.752
-0.197,-0.565,-0.570,-80.566,-12.329,26.184
-0.214,-0.643,-0.694,-74.646,1.892,20.203
-0.238,-0.717,-0.801,-77.515,8.057,17.883
-0.271,-0.752,-0.898,-81.604,7.629,20.508
-0.264,-0.719,-0.981,-82.092,3.906,29.358
-0.221,-0.666,-1.027,-78.613,-5.676,34.729
-0.281,-0.632,-1.040,-75.562,-20.691,32.166
-0.236,-0.318,-1.572,-75.806,-28.992,31.677
-0.225,-0.267,-1.472,-89.722,-75.867,14.648
-0.232,-0.438,-0.929,-101.318,-139.648,-12.756
-0.215,-0.656,-0.415,-105.164,-168.457,-33.020
-0.159,-0.824,-0.053,-100.830,-155.823,-40.405
-0.133,-0.941,0.110,-91.858,-114.563,-38.269
-0.102,-1.009,0.034,-78.430,-58.105,-30.212
-0.087,-1.019,-0.240,-70.435,-6.531,-20.081
-0.096,-0.981,-0.514,-69.336,23.193,-8.728
-0.136,-0.930,-0.735,-74.280,29.907,1.465
-0.156,-0.919,-0.788,-82.153,18.372,12.024
-0.119,-0.927,-0.686,-88.196,1.953,24.353
-0.119,-0.948,-0.505,-86.487,-10.559,32.959
-0.180,-1.233,-0.846,-78.491,-3.845,37.170
-0.237,-1.470,-1.517,-58.777,4.028,50.598
-0.246,-1.133,-1.833,-56.030,-38.879,90.759
-0.226,-0.339,-1.616,-67.078,-118.042,124.939
-0.151,0.166,-1.045,-73.547,-194.336,107.605
-0.126,0.130,-0.451,-88.135,-238.525,41.687
-0.089,-0.220,-0.050,-95.703,-237.610,-29.175
-0.080,-0.648,0.121,-91.797,-204.895,-77.576
-0.055,-1.013,0.127,-85.083,-159.058,-94.971
-0.023,-1.278,-0.022,-78.613,-112.488,-85.571
-0.013,-1.397,-0.254,-72.144,-75.745,-57.007
-0.007,-1.370,-0.422,-70.557,-58.289,-20.386
0.017,-1.182,-0.441,-72.815,-56.519,13.733
0.028,-0.978,-0.362,-77.881,-58.533,34.546
0.022,-0.859,-0.272,-79.712,-56.335,38.330
0.030,-0.862,-0.290,-84.167,-49.255,32.532
0.011,-0.822,-0.441,-84.778,-40.100,26.184
0.035,-0.765,-0.543,-78.552,-42.175,21.484
0.028,-0.859,-0.546,-74.280,-54.138,10.010
0.045,-0.864,-0.424,-68.787,-69.336,2.380
0.055,-0.807,-0.264,-62.378,-78.430,-3.174
0.088,-0.836,-0.145,-61.951,-76.477,-13.794
0.099,-0.970,-0.103,-63.843,-64.636,-26.672
0.107,-1.073,-0.113,-59.326,-49.316,-31.311
0.093,-1.122,-0.189,-52.673,-34.302,-27.649
0.099,-1.029,-0.284,-38.574,-24.475,-16.968
0.100,-1.009,-0.329,-22.400,-21.606,-9.460
0.052,-1.112,-0.346,-10.864,-22.705,-9.094
0.046,-1.099,-0.414,-4.456,-24.292,-4.822
0.065,-0.945,-0.434,5.127,-29.114,1.404
0.091,-0.888,-0.356,15.015,-36.743,-1.404
0.115,-0.947,-0.235,17.517,-39.490,-10.742
0.145,-1.000,-0.183,14.587,-34.485,-14.771
0.160,-1.047,-0.180,8.789,-25.391,-14.648
0.180,-1.124,-0.248,2.441,-16.724,-13.062
0.161,-1.168,-0.298,0.427,-12.268,-7.874
0.717,-1.141,-0.289,4.333,-11.780,2.258
0.236,-1.229,-0.267,26.978,-12.573,14.893
0.598,-1.112,-0.280,26.855,-12.939,30.518
0.317,-0.933,-0.244,24.475,-14.038,42.847
0.475,-0.620,-0.283,16.846,-13.306,41.870
0.507,-1.008,-0.390,8.972,-11.780,15.625
0.537,-1.210,-0.356,0.122,-20.996,3.723
0.576,-1.135,-0.270,0.977,-29.541,11.902
0.610,-1.026,-0.226,7.568,-27.222,15.930
0.616,-1.027,-0.282,9.888,-18.799,11.292
0.573,-1.056,-0.452,7.812,-10.803,5.554
0.610,-1.018,-0.552,7.324,-9.155,3.967
0.660,-1.012,-0.570,8.362,-12.573,1.648
0.722,-1.062,-0.563,8.545,-15.442,-4.456
0.758,-1.115,-0.654,5.127,-16.296,-6.897
0.890,-1.155,-0.683,-2.258,-21.118,-2.319
0.973,-1.192,-0.614,-7.751,-30.334,3.967
1.024,-1.186,-0.584,-12.024,-34.058,10.071
1.024,-1.162,-0.642,-15.808,-32.410,16.602
1.071,-1.161,-0.700,-18.555,-32.532,21.973
1.126,-1.225,-0.654,-21.729,-37.659,27.710
1.144,-1.077,-0.561,-25.940,-42.664,41.321
1.264,-0.809,-0.395,-31.555,-44.006,54.199
1.027,-0.731,-0.347,-32.959,-40.161,48.157
0.972,-0.523,-0.635,-38.269,-33.936,37.415
1.163,-0.246,-0.393,-41.382,-44.678,29.968
0.970,-0.657,0.220,-39.490,-43.274,3.418
0.858,-0.849,0.085,-53.162,-0.610,-4.883
0.799,-0.050,-0.761,-47.546,36.377,9.827
0.573,-0.415,-1.014,-22.644,14.282,-27.161
0.294,-0.856,-0.499,-10.437,-45.349,-44.434
0.406,-0.479,-0.252,-21.729,-79.651,-1.831
0.897,-0.310,0.250,-40.283,-103.577,26.428
0.740,-0.490,1.339,-43.152,-116.211,10.925
0.279,-0.578,1.652,-66.223,-55.054,-20.386
-0.121,-0.503,0.786,-83.557,58.411,-55.481
-0.398,-0.699,0.019,-72.205,120.850,-104.004
-0.681,-0.982,0.104,-43.640,111.877,-148.621
-0.870,-0.827,0.480,-22.949,93.018,-159.485
-1.124,-0.762,0.472,-24.963,100.159,-155.029
-1.370,-0.916,0.133,-53.467,114.014,-141.357
-1.563,-1.094,-0.133,-93.201,109.314,-110.229
-1.651,-1.003,-0.208,-125.305,86.975,-65.796

-0.905,-1.574,0.640,-93.140,43.518,-54.810
-1.075,-1.390,0.423,-52.307,68.420,-52.551
-1.238,-0.916,0.006,-18.372,88.379,-42.358
-1.267,-0.772,-0.254,-1.221,83.557,-44.495
-1.201,-1.077,-0.194,3.418,60.059,-54.749
-1.075,-1.239,-0.003,4.700,40.161,-50.171
-1.037,-0.842,0.010,2.747,36.133,-32.532
-0.977,-0.555,-0.157,-1.648,38.452,-32.104
-0.873,-1.000,-0.269,-5.798,33.569,-57.495
-0.711,-1.448,-0.235,-11.536,21.851,-65.857
-0.666,-1.407,-0.269,-11.353,10.559,-41.565
-0.607,-1.140,0.058,-13.184,-2.441,-13.794
-0.646,-1.131,0.044,-10.742,2.075,-6.165
-0.625,-1.137,-0.147,-1.282,11.047,-3.967
-0.630,-0.910,-0.072,11.902,2.258,3.479
-0.632,-0.609,0.115,20.569,-10.437,7.080
-0.608,-0.368,0.192,15.991,-15.137,4.211
-0.559,-0.396,0.183,-2.319,-16.724,-3.357
-0.574,-0.671,0.243,-26.123,-21.729,-11.108
-0.562,-0.755,0.197,-47.302,-23.437,-9.399
-0.594,-0.911,0.147,-59.509,-21.729,-7.446
-0.735,-1.451,0.169,-69.336,-18.921,-13.489
-0.854,-1.636,-0.063,-66.711,-7.629,-3.113
-0.912,-1.696,-0.232,-48.462,-5.249,7.446
-0.988,-1.735,-0.173,-20.874,-18.311,7.263
-1.038,-1.563,-0.067,8.301,-32.898,3.479
-1.040,-1.436,-0.048,30.579,-41.382,-4.761
-1.034,-1.372,0.004,40.588,-47.424,-10.803
-1.064,-1.228,0.096,35.889,-52.734,-2.258
-1.105,-1.114,0.107,15.259,-53.284,14.526
