aX,aY,aZ,gX,gY,gZ
-0.670,-1.853,-9.524,0.933,0.933,0.933
-0.670,-1.853,-9.524,0.933,0.933,0.933
-0.713,-1.820,-9.318,0.291,0.291,0.291
-0.771,-1.757,-9.151,0.583,0.583,0.583
-0.733,-1.781,-9.136,0.583,0.583,0.583
-0.737,-1.791,-9.294,-0.117,-0.117,-0.117
-0.752,-1.709,-9.697,0.525,0.525,0.525
-0.747,-1.484,-9.941,0.272,0.272,0.272
-0.579,-1.518,-9.725,-0.175,-0.175,-0.175
-0.718,-1.575,-9.419,0.544,0.544,0.544
-0.747,-1.513,-9.175,0.427,0.427,0.427
-0.680,-1.542,-9.381,-0.194,-0.194,-0.194
-0.713,-1.489,-9.654,0.913,0.913,0.913
-0.737,-1.518,-9.764,1.263,1.263,1.263
-0.737,-1.681,-9.429,1.205,1.205,1.205
-0.795,-1.724,-9.323,0.641,0.641,0.641
-0.843,-1.671,-9.290,-0.155,-0.155,-0.155
-0.776,-1.599,-9.539,0.777,0.777,0.777
-0.728,-1.590,-9.821,1.787,1.787,1.787

-2.782,5.186,21.668,12.104,12.104,12.104
-0.345,4.865,18.828,-2.137,-2.137,-2.137
-0.345,4.865,18.828,-2.137,-2.137,-2.137
5.555,2.437,6.134,-5.848,-5.848,-5.848
6.675,1.451,4.281,3.944,3.944,3.944
6.675,1.451,4.281,3.944,3.944,3.944
4.276,1.475,7.867,6.742,6.742,6.742
2.643,1.547,10.286,7.558,7.558,7.558
3.898,1.441,10.994,2.059,2.059,2.059
3.898,1.441,10.994,2.059,2.059,2.059
3.419,0.752,5.081,6.955,6.955,6.955
3.132,0.383,1.810,18.010,18.010,18.010
2.921,-0.254,-2.155,18.127,18.127,18.127
2.921,-0.254,-2.155,18.127,18.127,18.127
5.052,-1.508,-7.949,13.619,13.619,13.619
5.354,-1.982,-9.318,14.396,14.396,14.396
5.986,-2.337,-9.405,12.920,12.920,12.920
5.986,-2.337,-9.405,12.920,12.920,12.920
6.747,-2.193,-10.621,6.528,6.528,6.528
6.761,-1.767,-7.944,6.878,6.878,6.878
6.330,-1.216,-7.480,8.859,8.859,8.859
6.330,-1.216,-7.480,8.859,8.859,8.859
5.612,-2.049,-10.147,5.440,5.440,5.440
5.468,-1.681,-12.215,4.274,4.274,4.274
5.128,-1.614,-8.926,13.056,13.056,13.056
4.602,-1.537,-7.676,11.715,11.715,11.715
4.118,-1.595,-8.887,3.886,3.886,3.886
3.821,-1.958,-11.210,-0.330,-0.330,-0.330
3.716,-1.896,-10.568,6.159,6.159,6.159
3.357,-2.361,-9.548,10.763,10.763,10.763
3.323,-2.174,-10.539,2.720,2.720,2.720
3.146,-1.911,-11.646,-2.914,-2.914,-2.914
